Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
45536_9153_MF_121,CC398/CC5561,0.852015516950582,TRUE,TRUE
45537_9153_MF_122,CC8,0.856940462135268,TRUE,TRUE
45538_9153_MF_123,CC8,0.868949232585596,TRUE,TRUE
45539_9153_MF_124,CC398/CC5561,0.871431944678698,TRUE,TRUE
45540_9153_MF_125,CC30,0.85940293472761,TRUE,TRUE
45541_9153_MF_126,CC1,0.903491313880924,TRUE,TRUE
45542_9153_MF_127,CC15,0.869063923089897,TRUE,TRUE
45543_9153_MF_128,CC8,0.856535672120088,TRUE,TRUE
45544_9153_MF_129,CC59,0.869063923089897,TRUE,TRUE
45545_9153_MF_130,CC5,0.943342890875359,TRUE,TRUE
45546_9153_MF_131,CC1,0.906001011975038,TRUE,TRUE
45547_9153_MF_132,CC72,0.866790352504638,TRUE,TRUE
45548_9153_MF_133,CC30,0.844628099173554,TRUE,TRUE
45549_9153_MF_134,CC59,0.868821049080789,TRUE,TRUE
45550_9153_MF_135,CC97,0.88615280823073,TRUE,TRUE
45551_9153_MF_136,CC8,0.878664192949907,TRUE,TRUE
45552_9153_MF_137,CC8,0.856819025130714,TRUE,TRUE
45553_9153_MF_138,CC15,0.875884634845673,TRUE,TRUE
45554_9153_MF_139,CC45,0.847454882779558,TRUE,TRUE
45555_9153_MF_140,CC5,0.905920053972002,TRUE,TRUE
45556_9153_MF_141,CC5,0.950973182661494,TRUE,TRUE
45557_9153_MF_142,CC59,0.871539888682745,TRUE,TRUE
45558_9153_MF_143,CC30,0.866695901501097,TRUE,TRUE
45559_9153_MF_144,CC5,0.925889694720864,TRUE,TRUE
45560_9153_MF_145,CC5,0.933439028503963,TRUE,TRUE
45561_9153_MF_146,CC72,0.903187721369539,TRUE,TRUE
45562_9153_MF_147,CC1,0.896056670602126,TRUE,TRUE
45563_9153_MF_148,CC5,0.938303255186372,TRUE,TRUE
