barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,non_random_200,99,4000,fast,0.797877767574737,0.858585858585859,0.929292929292929,6.66611607142857,CC8,85,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,5000,fast,0.843995510662178,0.888888888888889,0.94949494949495,8.00557607142857,CC8,88,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,6000,fast,0.85297418630752,0.888888888888889,0.95959595959596,9.12389428571429,CC8,88,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,7000,fast,0.85297418630752,0.888888888888889,0.95959595959596,11.0822728571429,CC8,88,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,99,8000,fast,0.861952861952862,0.888888888888889,0.96969696969697,13.0191557142857,CC8,88,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,1000,fast,0.514177693761815,0.695652173913043,0.739130434782609,1.64345678571429,CC8,16,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,2000,fast,0.756143667296786,0.869565217391304,0.869565217391304,3.44701821428571,CC8,20,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,3000,fast,0.68241965973535,0.826086956521739,0.826086956521739,5.23615357142857,CC8,19,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,4000,fast,0.833648393194708,0.91304347826087,0.91304347826087,6.66611607142857,CC8,21,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,5000,fast,1,1,1,8.00557607142857,CC8,23,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,non_random_200,23,6000,fast,1,1,1,9.12389428571429,CC8,23,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
